"";"mandante";"visitante";"time"
"333";"RED";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"334";"BAH";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"335";"INT";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"336";"FOR";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"337";"ATL";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"338";"SAO";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"339";"COR";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"340";"FLU";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"341";"SPO";"FLA";"##------ Sun May 02 23:22:18 2021 ------##"
"342";"ATL";"BAH";"##------ Sun May 02 23:22:18 2021 ------##"
"343";"JUV";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"344";"ATH";"CUI";"##------ Sun May 02 23:22:18 2021 ------##"
"345";"CEA";"COR";"##------ Sun May 02 23:22:18 2021 ------##"
"346";"GRE";"SAO";"##------ Sun May 02 23:22:18 2021 ------##"
"347";"AME";"CHA";"##------ Sun May 02 23:22:18 2021 ------##"
"348";"SAN";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"349";"PAL";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"350";"FLU";"INT";"##------ Sun May 02 23:22:18 2021 ------##"
"351";"INT";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
"352";"ATL";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"353";"SAO";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"354";"COR";"ATH";"##------ Sun May 02 23:22:18 2021 ------##"
"355";"FLA";"CEA";"##------ Sun May 02 23:22:18 2021 ------##"
"356";"BAH";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"357";"FOR";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"358";"RED";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"359";"CHA";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"360";"CUI";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"361";"CUI";"FOR";"##------ Sun May 02 23:22:18 2021 ------##"
"362";"CHA";"SPO";"##------ Sun May 02 23:22:18 2021 ------##"
"363";"ATH";"PAL";"##------ Sun May 02 23:22:18 2021 ------##"
"364";"BAH";"FLU";"##------ Sun May 02 23:22:18 2021 ------##"
"365";"CEA";"AME";"##------ Sun May 02 23:22:18 2021 ------##"
"366";"INT";"ATL";"##------ Sun May 02 23:22:18 2021 ------##"
"367";"ATL";"RED";"##------ Sun May 02 23:22:18 2021 ------##"
"368";"SAO";"JUV";"##------ Sun May 02 23:22:18 2021 ------##"
"369";"COR";"GRE";"##------ Sun May 02 23:22:18 2021 ------##"
"370";"FLA";"SAN";"##------ Sun May 02 23:22:18 2021 ------##"
