"";"data";"hora";"natureza_acidente";"situacao";"bairro";"endereco";"numero";"detalhe_endereco_acidente";"complemento";"bairro_cruzamento";"num_semaforo";"sentido_via";"tipo";"auto";"moto";"ciclom";"ciclista";"pedestre";"onibus";"caminhao";"viatura";"outros";"vitimas";"vitimasfatais";"acidente_verificado";"tempo_clima";"situacao_semaforo";"sinalizacao";"condicao_via";"conservacao_via";"ponto_controle";"situacao_placa";"velocidade_max_via";"mao_direcao";"divisao_via1";"divisao_via2";"divisao_via3"
"1741";2020-02-25;"07:33:00";"SEM VÍTIMA";"FINALIZADA";"SÃO JOSÉ";"AV SUL";"";"";"LADO OPOSTO A AGEMAR";"SÃO JOSÉ";NA;"CIDADE";"ABALROAMENTO LONGITUDINAL";1;"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"Longo da via";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"Outras";"";"Dupla";"Canteiro central";"";""
"1742";2020-02-25;"10:46:00";"SEM VÍTIMA";"FINALIZADA";"TORRE";"RUA JOAO TUDE DE MELO";"";"RUA VIRGINIA LORETO";"";"TORRE";"649";"";"ABALROAMENTO TRANSVERSAL";3;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"R-6a";"";"Única";"Faixa contínua";"";""
"1743";2020-02-25;"12:40:00";"SEM VÍTIMA";"CANCELADA";"BOA VIAGEM";"AV ENGENHEIRO DOMINGOS FERREIRA";"";"";"EM FRENTE AO CERPE/ PISTA DA ESQUERDA";"BOA VIAGEM";"380";"";"COLISÃO";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1744";2020-02-25;"13:37:00";"SEM VÍTIMA";"CANCELADA";"PARNAMIRIM";"EST DO ENCANAMENTO";"350";"";"AO LADO DA CASA DE BATERIAS HELIAR";"PARNAMIRIM";NA;"";"COLISÃO";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1745";2020-02-25;"14:10:00";"SEM VÍTIMA";"FINALIZADA";"MADALENA";"RUA BENFICA";"";"";"EM FRENTE AO SPORT CLUBE DO RECIFE";"MADALENA";NA;"CIDADE";"ABALROAMENTO LONGITUDINAL";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Longo da via";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"";"40 km/h";"Única";"Não existe";"";""
"1746";2020-02-25;"15:14:00";"SEM VÍTIMA";"FINALIZADA";"NOVA DESCOBERTA";"AV VEREADOR OTACILIO AZEVEDO";"";"";"";"NOVA DESCOBERTA";NA;"CIDADE";"ABALROAMENTO LONGITUDINAL";1;"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"Longo da via";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Outros";"Outras";"";"Dupla";"Faixa seccionada";"";""
"1747";2020-02-25;"15:23:00";"SEM VÍTIMA";"FINALIZADA";"BOA VIAGEM";"AV CONSELHEIRO AGUIAR";"";"";"SEMÁFORO 147";"BOA VIAGEM";"147";"CIDADE";"ABALROAMENTO LONGITUDINAL";1;"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"Cruzamento";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"R-6a";"";"Única";"Faixa contínua";"Faixa seccionada";""
"1748";2020-02-25;"16:49:00";"SEM VÍTIMA";"CANCELADA";"ÁGUA FRIA";"AV BEBERIBE";"1628";"";"AO LADO DA IGREJA ASSEMBLEIA DE DEUS S/T SUB";"ÁGUA FRIA";NA;"";"COLISÃO";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"1749";2020-02-25;"17:18:00";"SEM VÍTIMA";"FINALIZADA";"TORRE";"AV BEIRA RIO";"73";"RUA JANUARIO BARBOSA";"COLEGIO EQUIPE";"TORRE";NA;"CIDADE";"COLISÃO TRASEIRA";2;"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"Chuvoso";"Não existe";"Perfeito estado";"Molhada";"Perfeito estado";"Faixa de pedestre";"Placas Pare";"";"Única";"Faixa contínua";"Faixa seccionada";""
"1750";2020-02-25;"19:50:00";"COM VÍTIMA";"FINALIZADA";"IMBIRIBEIRA";"AV MARECHAL MASCARENHAS DE MORAES";"5905";"";"UNIDAS";"IMBIRIBEIRA";NA;"";"CHOQUE OBJETO FIXO";1;"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"Viaduto";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"Não há placas";"";"";"Não existe";"";""
