"","tipo","localizacao","ICG","INSE","TDI_EM","MHA_EM","REP_EM"
"153","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"154","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[2.7,5)"
"155","EREM","Urbana","N3","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"156","EREM","Urbana","N2","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"157","EREM","Urbana","N2","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"158","EREM","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"159","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[2.7,5)"
"160","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"161","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[5,33.2]"
"162","EREM","Urbana","N2","[3.54,4.26)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"163","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"164","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[0,2.7)"
"165","EREM","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"166","EREM","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"167","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[0,2.7)"
"168","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"169","EREM","Rural","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"170","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"171","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"172","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"173","EREM","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[0,2.7)"
"174","EREM","Urbana","N3","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"175","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"176","EREM","Urbana","N5","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"177","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"178","EREM","Urbana","N4","[3.54,4.26)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"179","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"180","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"181","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"182","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"183","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"184","EREM","Urbana","N5","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"185","EREM","Urbana","N3","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"186","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"187","EREM","Urbana","N5","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"188","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"189","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"190","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"191","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"192","EREM","Urbana","N5","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"193","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"194","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[5,33.2]"
"195","EREM","Rural","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"196","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"197","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"198","EREM","Urbana","N3","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[2.7,5)"
"199","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"200","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"201","EREM","Urbana","N6","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"202","EREM","Urbana","N4","[4.26,4.55)","[0,13.3)","[5.4,9.5)","[5,33.2]"
"203","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"204","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"205","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[0,2.7)"
"206","EREM","Urbana","N4","[3.54,4.26)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"207","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[0,2.7)"
"208","EREM","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[5.4,9.5)","[2.7,5)"
"209","EREM","Urbana","N3","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
