ANO;ID;tipo;nota;TDI_EM;TDI_01;TDI_02;TDI_03;MHA_EM;MHA_01;MHA_02;MHA_03
2019;26066572;EREM;495,2746875;12,2;14,1;15,9;4,8;8,7;9,5;9,5;9,5
2019;26067137;EREM;497,3014085;18,8;22,5;19,6;13,5;9,5;9,5;9,5;9,5
2019;26067382;EREM;486,5496753;23,1;27,7;20,6;20,5;9,5;9,5;9,5;9,5
2019;26067552;Regular;464,0776596;27,7;32,1;25,2;24,6;5,1;6,3;4,6;4,5
2019;26067803;EREM;483,6675926;26;29,6;28,8;18,6;9,5;9,5;9,5;9,5
2019;26068427;EREM;487,3182353;8,4;7,7;8,8;8,8;8,4;9,5;9,5;9,5
2019;26068508;Regular;444,0018939;32,7;32,7;34,6;30,4;4,2;4,4;4,4;4,5
2019;26068729;EREM;517,4378788;13,4;15,5;17,5;6,8;9,5;9,5;9,5;9,5
2019;26068877;EREM;465,3604167;22,1;26,3;25,4;13,9;6,2;9,5;4,5;4,5
2019;26069210;EREM;472,6993243;24,5;33,8;14,2;22,8;7,5;9,5;9,5;4,5
2019;26069288;EREM;456,0859375;20,4;18,9;29,5;16,5;9,5;9,5;9,5;9,5
2019;26069318;EREM;493,1609649;20,4;21,5;19,7;18,8;9,5;9,5;9,5;9,5
2019;26070090;EREM;480,6681818;23,2;26,4;27,5;14,7;9,5;9,5;9,5;9,5
2019;26070260;EREM;498,6483871;7,8;9,8;8,7;4,8;9,5;9,5;9,5;9,5
2019;26070456;EREM;447,9128788;22,9;20;30,8;20,8;8,7;9,3;9,3;9,3
2019;26070782;Regular;470,442029;24,5;26;27,8;18,3;4,1;4,2;4,3;4,3
2019;26070880;EREM;480,5767123;10,5;9,7;11,1;11;9,5;9,5;9,5;9,5
2019;26071606;EREM;464,1992754;20,8;25,9;22,8;11,1;10;10;10;10
2019;26071924;EREM;495,402381;39,8;50,9;34,1;20,6;9,9;9,9;10;10
2019;26072149;Regular;453,0167647;45,9;53,2;44,5;39,1;4,2;4,4;4,4;4,2
2019;26072254;EREM;479,2261062;25;33,1;21,8;22,9;9,5;9,5;9,5;9,5
2019;26073102;EREM;482,1021277;30,6;38,5;34,7;13,2;10;10;10;10
2019;26073498;EREM;478,422007;29,4;25,7;46,2;23,5;7,2;9,3;5,8;5,9
2019;26074079;EREM;456,8081818;25,5;28,3;29,3;17,6;8,4;8,7;8,2;8,2
2019;26074311;EREM;482,578125;28;35,4;25,3;20,8;9,5;9,5;9,5;9,5
2019;26074362;Regular;475,5849057;31,8;31,5;40,8;26,7;4,4;4,5;4,5;4,3
2019;26074907;EREM;481,5398551;23,6;28,6;26,6;15,1;9,5;9,5;9,5;9,5
2019;26074923;Regular;442,4168919;65,3;74,6;69,4;54,2;4,1;4;4;4,2
2019;26075385;EREM;472,9083333;31,2;41,8;30,6;11,1;9,5;9,5;9,5;9,5
2019;26075440;Privada;570,6908537;3,6;2,1;4,2;4;4,9;4,9;4,9;4,9
2019;26075474;Privada;565,1559322;3,8;4,8;1,4;4,7;5,3;5,3;5,3;5,3
2019;26075687;EREM;473,7747788;24,4;32,2;21,2;17,8;8,3;8,4;8,4;8
2019;26075768;Regular;489,4180108;25,4;32,6;27,3;18,2;4,4;4,4;4,4;4,4
2019;26075903;EREM;503,0101563;13,8;16,7;11,4;10,4;9,5;9,5;9,5;9,5
2019;26075911;Regular;460,7480769;37,8;50;36,5;24;4,5;4,5;4,5;4,5
2019;26075920;Regular;464,0548387;33,6;40,8;34;21,7;4,9;5,3;4,5;4,5
2019;26075997;Regular;460,4235714;34,2;49,1;29,5;21,6;4,5;4,5;4,5;4,5
2019;26076047;Regular;459,9692623;36,1;43,6;36;24,8;4,1;4;4;4,3
2019;26076357;Regular;493,5630435;27,3;33;27,7;20;4,5;4,5;4,5;4,5
2019;26076780;EREM;486,3373377;38,7;46,7;35,9;23,8;8;8,5;7,3;7,7
2019;26077825;EREM;478,934375;27,2;34,3;23,9;17,9;9,5;9,5;9,5;9,5
2019;26078562;EREM;494,9856164;33,8;38,2;33,9;26,6;10;10;10;10
2019;26078805;EREM;525,3418367;10,8;8,9;16,2;7;9,2;9,2;9,2;9,2
2019;26078872;Regular;462,5759709;21;29;20,5;5,5;4,5;4,5;4,5;4,5
2019;26079593;EREM;451,025;25,3;30,1;23,3;20;9,5;9,5;9,5;9,5
2019;26079739;EREM;473,476875;31;35,4;28,8;25,6;6,9;7,1;6,7;6,9
2019;26080516;EREM;457,959058;30,9;35,4;29,1;24,6;7,7;7,6;8,1;7,5
2019;26081059;EREM;466,292033;40,9;38,5;41;44;8,4;9;8,4;7,5
2019;26081180;EREM;462,7696809;30,2;32,5;37;23,3;9,5;9,5;9,5;9,5
2019;26081849;EREM;489,6017241;34,1;45,1;32,4;17,3;9,5;9;10;10
2019;26082179;EREM;487,5863426;15,8;14,5;18,3;14,7;9,5;9,5;9,5;9,5
2019;26082861;EREM;443,9633333;26,3;32,8;23,4;18,2;8,7;9,5;9,5;9,5
2019;26083159;EREM;484,6913934;7,9;9,4;6,8;7,5;9,5;9,5;9,5;9,5
2019;26083493;Regular;444,14;31,8;28,7;36,5;29,9;4,3;4,5;4,3;4,3
2019;26083639;EREM;475,7794355;28,5;34,8;26,6;22,1;9,5;9,5;9,5;9,5
2019;26084040;Regular;451,6012821;33,5;34,6;32;34,2;4,1;4,2;4;4
2019;26084201;EREM;493,1580128;13,8;16,4;13,5;9,5;9,5;9,5;9,5;9,5
2019;26084791;EREM;479,2809211;22,3;23,2;22;21,1;9,5;9,5;9,5;9,5
2019;26086077;EREM;461,3229839;19,7;21,8;18,6;16,9;9,5;9,5;9,5;9,5
2019;26086638;EREM;470,7875;25,1;33,7;19,3;15,3;7,4;7,5;7,5;7
2019;26086905;EREM;483,5786885;17,3;21,5;17,6;11,4;9,5;9,5;9,5;9,5
2019;26087030;Regular;454,0029762;41,1;43,2;38,7;40,6;4,5;4,5;4,5;4,4
2019;26087375;EREM;452,6542857;17,5;25,3;14,5;9,7;8,7;9,5;9,5;6,4
2019;26087715;EREM;448,6935;35,2;34,1;39;33,3;10;10;10;10
2019;26087910;EREM;474,7932432;24,8;37,3;21,4;10,1;9,5;9,5;9,5;9,5
2019;26087928;EREM;470,6079545;20,6;26,8;15,1;20,2;9,5;9,5;9,5;9,5
2019;26088258;Regular;504,5634259;16,7;17,1;16,8;15,9;4,5;4,5;4,5;4,5
2019;26088282;EREM;462,5557554;11,3;12,4;13,2;7,7;9,5;9,5;9,5;9,5
2019;26088410;EREM;480,6777778;14,7;17,2;16,8;9,8;9,5;9,5;9,5;9,5
2019;26088533;Regular;445,9136905;50,4;54,7;49,2;45,4;4,4;4,5;4,5;4,1
2019;26088606;EREM;457,95;27,9;33;31,5;17,9;9,5;9,5;9,5;9,5
2019;26088851;EREM;464,9580435;20,1;24,5;22,2;13,9;9,5;9,5;9,5;9,5
2019;26088886;Regular;462,7597222;39;41,9;41,3;34,2;4,5;5;4,2;4,1
2019;26088894;EREM;440,6539063;33,2;29,1;37,9;28,6;8,7;9,5;9,5;9,5
2019;26089424;EREM;463,8262097;27,2;36,9;22,6;19,6;9,5;9,5;9,5;9,5
2019;26089505;EREM;512,3326733;10,3;12,9;8,6;8,3;9,5;9,5;9,5;9,5
2019;26089530;Regular;458,8809633;35,2;40,4;36,3;28,9;4,3;4,3;4,3;4,3
2019;26090058;EREM;454,8631148;21,2;32,3;12,6;14,1;9,5;9,5;9,5;9,5
2019;26090309;EREM;470,8061377;35,3;39,2;36,5;29,7;7,1;8;7,6;7,6
2019;26090406;EREM;445,140625;22,3;16,1;23,1;26,6;7,3;9,5;9,5;4,3
2019;26090830;Privada;567,56;2,9;2,7;5;0;5,3;5,3;5,3;5,3
2019;26090864;Regular;450,30125;39,1;53,5;38,5;15,8;4,5;4,5;4,5;4,4
2019;26090902;EREM;509,7177083;8,2;8,2;9,9;5,9;9,5;9,5;9,5;9,5
2019;26090910;EREM;458,0888889;25,4;26,3;26,4;23,2;9,5;9,5;9,5;9,5
2019;26090970;Regular;571,8298969;3,4;3,2;4,8;2,7;5,2;5,2;5,2;5,2
2019;26091259;EREM;462,8722222;24,4;29,5;30,7;13,5;9,5;9,5;9,5;9,5
2019;26091267;EREM;444,5806818;33,4;38,1;27,2;34,4;9,5;9,5;9,5;9,5
2019;26091720;EREM;464,9573661;18,4;21,6;18,4;14,2;8,8;9,5;9,5;8,2
2019;26091828;EREM;455,9847561;38,8;45,1;35;34,5;9,5;9,5;9,5;9,5
2019;26092301;EREM;479,3778125;19,9;22,8;18,6;17,6;9,5;9,5;9,5;9,5
2019;26092492;EREM;438,0414634;38,5;40,4;41,3;32,7;9,2;10;7,8;9,4
2019;26092786;EREM;473,6133838;13,2;18,7;13,3;5,5;9,5;9,5;9,5;9,5
2019;26093030;EREM;452,5554348;26;30,5;28,5;12,4;8,1;8,4;7,9;7,7
2019;26093219;EREM;466,6030172;30;36,8;17,5;32,3;7,6;9,5;9,5;7,2
2019;26093570;EREM;484,2664216;8,4;7,5;10,2;7,5;9,5;9,5;9,5;9,5
2019;26093600;Regular;447,7104545;33;27,9;41,7;30,6;4,4;4,5;4,5;4,5
2019;26093995;EREM;461,7461538;19,8;27,9;19,9;10,3;9,5;9,5;9,5;9,5
2019;26094681;Privada;570,7068627;3,3;4,5;1,3;3,6;6,2;6;6,3;6,4
2019;26094789;Federal;540,3152778;25,1;26,3;24,1;24;9,8;9,8;9,8;9,8
2019;26094800;EREM;468,676875;27,2;31;27,7;19;8,6;9,5;9,5;9,5
2019;26094860;EREM;469,4040323;32,8;36,8;38,2;16,3;8,4;9,5;9,5;4,5
2019;26094878;Regular;441,4392157;37,5;50;37;23,2;4,2;4,5;4,3;4,5
2019;26095289;ETE;493,7379496;13,2;14;11,5;13,7;9,5;9,5;9,5;9,5
2019;26095297;Regular;458,4237903;38,8;49,1;34,6;23,7;4,4;4,5;4,5;4,5
2019;26095335;EREM;466,5303191;27,3;38,5;24,2;17,9;9,5;9,5;9,5;9,5
2019;26095530;Regular;468,5990196;38,2;46;33,3;34,7;4,5;4,5;4,5;4,5
2019;26095904;Privada;559,4041045;3,8;3,8;5,6;1,2;4,8;5,1;5,1;4,1
2019;26095912;Privada;555,8304348;6,3;10,4;4,1;5,4;5,3;5,3;5,3;5,3
2019;26096030;EREM;447,733642;26,9;34,4;22,2;21,5;8,6;8,9;8,9;8,6
2019;26097117;EREM;476,7117188;16,8;23,6;12,1;12,1;9,5;9,5;9,5;9,5
2019;26097257;EREM;505,4453297;10,5;11,1;11,6;7,4;9,5;9,5;9,5;9,5
2019;26097311;Federal;499,4014706;37,4;27,7;31,8;50,3;9,6;10,3;10,3;7,8
2019;26097591;Regular;449,8331395;37,3;38,8;44,3;31,9;4,3;4,5;4,5;4,5
2019;26097982;EREM;482,3484848;20,7;19,6;18,5;23,8;7,5;8;7,3;7
2019;26098482;EREM;474,6554348;18,4;19,4;20,3;14,5;9,5;9,5;9,5;9,5
2019;26098822;EREM;447,6466418;25,8;32,8;26,7;16;8,8;8,3;8,6;9,5
2019;26098920;ETE;488,4590517;11,9;11,3;14;10,2;9,5;9,5;9,5;9,5
2019;26099322;EREM;443,3570755;40,3;41;33,6;30,5;9,1;9,5;9,5;9,5
2019;26099489;EREM;472,5218447;16,4;17,7;16,3;14,7;8,3;9,5;9,5;9,5
2019;26099497;Regular;448,5090909;31,7;38,2;27,6;28,2;4,3;4,4;4,3;4,3
2019;26100525;EREM;458,0705882;25,6;32,8;23;14,8;9,5;9,5;9,5;9,5
2019;26100940;EREM;449,6199074;41;27,1;26,7;43,1;8,2;9,5;9,5;8,1
2019;26101084;EREM;489,0346939;15,9;21,2;19,6;5,3;9,5;9,5;9,5;9,5
2019;26101653;ETE;512,1532258;9,4;11,8;9,6;5,3;9,5;9,5;9,5;9,5
2019;26102250;EREM;462,1068182;28,7;35,1;26,3;19,4;9,1;9,5;9,5;8
2019;26102552;EREM;491,5791139;14,1;13,7;18,3;8,3;9,5;9,5;9,6;9,5
2019;26102617;Privada;523,7395833;6,9;8,8;4,8;6,6;6,1;6,2;6,1;6,2
2019;26102633;Regular;459,2602564;35,5;42,2;34,4;26,8;4,4;4,4;4,5;4,5
