cod_escola;tp_escola;tp_localizacao;idepe;p_em;nota_lp;nota_mt;nota_saep;in_internet;in_noturno;in_eja;qt_mat_bas;tx_mat_med_int;tx_mat_bas_fem;tx_mat_bas_branca;inse;mha_em;tdi_em
26017750;SEMI_INTEGRAL;Urbana;6,14;0,95;5,52;7,38;6,45;0;1;1;224;0,8;0,5;0,232142857;3,91;9,6;29,1
26027917;SEMI_INTEGRAL;Urbana;4,92;0,97;5,06;5,13;5,1;1;1;0;596;0,94;0,540268456;0,08557047;4,09;9,1;32,9
26018020;SEMI_INTEGRAL;Urbana;5;0,94;5,05;5,57;5,31;1;1;0;160;0,8;0,5625;0,15625;4,12;8,3;23,4
26131528;SEMI_INTEGRAL;Rural;5,19;0,99;5,06;5,38;5,22;1;1;1;593;0,65;0,539629005;0,037099494;4,51;9,6;25,3
26131684;SEMI_INTEGRAL;Urbana;4,67;0,95;5;4,81;4,9;1;0;0;469;1;0,562899787;0,017057569;4,67;9,5;11,9
26111403;SEMI_INTEGRAL;Urbana;4,35;0,95;4,53;4,61;4,57;1;0;0;378;1;0,457671958;0,084656085;4,49;9,5;23,5
26109441;SEMI_INTEGRAL;Urbana;4,98;0,97;5,3;4,97;5,14;1;0;0;405;1;0,533333333;0,004938272;4,41;9,5;13,6
26110997;SEMI_INTEGRAL;Urbana;4,57;0,94;4,97;4,73;4,85;1;1;1;693;0,74;0,513708514;0,0995671;4,47;9,5;18,1
26111020;SEMI_INTEGRAL;Urbana;3,81;0,94;4,33;3,81;4,07;1;1;1;437;0,74;0,517162471;0,102974828;4,08;9,5;27,2
26108984;SEMI_INTEGRAL;Urbana;5,06;0,95;5,31;5,29;5,3;1;0;0;301;1;0,544850498;0,129568106;4,26;9,5;15,3
26111225;SEMI_INTEGRAL;Urbana;4,85;0,99;4,96;4,84;4,9;1;0;0;471;1;0,52866242;0,176220807;4,46;9,5;11,3
26110270;SEMI_INTEGRAL;Urbana;4,57;0,96;5,08;4,45;4,76;1;1;0;645;0,87;0,52248062;0,102325581;4,38;8,7;12,7
26109042;SEMI_INTEGRAL;Urbana;4,69;0,95;4,96;4,88;4,92;1;1;0;734;0,75;0,549046322;0,042234332;4,68;8;11,2
26110245;SEMI_INTEGRAL;Urbana;4,82;0,98;5,26;4,57;4,91;1;1;1;616;0,6;0,511363636;0,089285714;4,6;8,7;14,9
26109107;SEMI_INTEGRAL;Urbana;4,24;0,9;5,14;4,25;4,69;1;1;1;483;0,51;0,505175983;0,134575569;4,72;9,5;21,4
26100940;SEMI_INTEGRAL;Urbana;4,36;0,94;4,49;4,73;4,61;1;1;1;564;0,56;0,588652482;0,069148936;4,08;8,2;41
26042053;SEMI_INTEGRAL;Urbana;5,31;0,96;5,28;5,77;5,53;1;0;0;352;1;0,511363636;0,167613636;4,47;10,5;14,8
26100525;SEMI_INTEGRAL;Urbana;4,93;0,95;4,85;5,47;5,16;1;1;1;559;0,7;0,563506261;0,094812165;4,17;9,5;25,6
26077825;SEMI_INTEGRAL;Urbana;5,2;0,97;5,34;5,34;5,34;1;1;1;630;0,86;0,558730159;0,247619048;4,01;9,5;27,2
26133920;SEMI_INTEGRAL;Urbana;4,31;0,94;4,54;4,65;4,59;1;1;1;620;0,72;0,49516129;0,356451613;3,94;8,8;29,4
26090309;SEMI_INTEGRAL;Urbana;4,9;0,98;4,91;5,05;4,98;1;1;0;916;0,61;0,532751092;0,07860262;3,91;7,1;35,3
26090058;SEMI_INTEGRAL;Urbana;4,64;0,96;4,89;4,8;4,85;1;1;1;618;0,74;0,490291262;0,140776699;4,25;9,5;21,2
26078562;SEMI_INTEGRAL;Urbana;4,94;0,9;5;5,93;5,46;1;1;1;523;0,74;0,560229446;0,263862333;3,92;10;33,8
26069288;SEMI_INTEGRAL;Urbana;5,31;0,98;5,19;5,6;5,39;1;1;1;508;0,74;0,531496063;0,232283465;3,8;9,5;20,4
26069652;SEMI_INTEGRAL;Urbana;4,23;0,98;4,37;4,24;4,3;1;1;1;960;0,1;0,491666667;0,338541667;4,56;5,1;31
26070090;SEMI_INTEGRAL;Urbana;5,78;0,96;5,82;6,2;6,01;1;1;1;423;0,87;0,536643026;0,307328605;3,93;9,5;23,2
26029243;SEMI_INTEGRAL;Urbana;4,69;0,98;4,31;5,25;4,78;1;1;0;905;0,64;0,542541436;0,035359116;3,54;7,3;34,3
